name,url,phone,email,address,placeId
Big Plate,https://www.google.com/maps/search/?api=1&query=Big%20Plate&query_place_id=ChIJmTyPwWxb4joRWXXw2m-0d-g,+94 77 779 9400,,"No 32, 8th Lane Kollupitiya, Colombo, 03 Marine Drive, Face 00300, Sri Lanka",ChIJmTyPwWxb4joRWXXw2m-0d-g
SunsetBlu,https://www.google.com/maps/search/?api=1&query=SunsetBlu&query_place_id=ChIJ9WNl2rJZ4joRHMJkjXkhyac,+94 112 492 492,,"Lotus Rd, Colombo 00100, Sri Lanka",ChIJ9WNl2rJZ4joRHMJkjXkhyac
The Bavarian German Restaurant and pub,https://www.google.com/maps/search/?api=1&query=The%20Bavarian%20German%20Restaurant%20and%20pub&query_place_id=ChIJt-EYSj9Z4joRCj14oyP0-VY,+94 112 421 577,,"11 Galle Face Terrace, Colombo 00300, Sri Lanka",ChIJt-EYSj9Z4joRCj14oyP0-VY
The Gallery Café,https://www.paradiseroad.lk/,+94 112 582 162,,"2 Alfred House Rd, Colombo 00300, Sri Lanka",ChIJCbyzLGBZ4joRdPY4QTkZdGc
The Barnesbury,https://thebarnesbury.com/,+94 112 682 144,,"91 Barnes Pl, Colombo 00700, Sri Lanka",ChIJmaQrW3ZZ4joRorGVvcDlIb8
Graze Kitchen,https://www.hiltoncolombo1.com/restaurant/graze-kitchen,+94 112 492 492,,"2 Sir Chittampalam A Gardiner Mawatha, Lobby Level, Colombo 00200, Sri Lanka",ChIJG_8-9SRZ4joRnptaVKEVYDA
The Manhattan Fish Market,http://www.manhattanfishmarket.com/,+94 112 301 901,,"313 Galle - Colombo Rd, Colombo 00300, Sri Lanka",ChIJ3Yp0oGtZ4joR9VKc3VPbDkY
King of the Mambo,http://www.kingofthemambo.com/,+94 77 222 7389,,"Galle Rd, Colombo 00300, Sri Lanka",ChIJDXzJOYVZ4joRhzwjjBTWIEM
Cuisine Colombo - Gregory's Road,http://www.cuisinecolombo.lk/,+94 70 700 7777,,"51 R.G. Senanayake Mawatha, Colombo 00700, Sri Lanka",ChIJaWB8tjBZ4joR-LBewBqxg6E
Tilapiya Colombo | Best BYOB Restaurant,http://www.tilapiyacolombo.lk/,+94 77 949 4394,,"11B, MS 4 Mini Stand, Phillip Gunewardana Mawatha, Race Course Ave, 00700, Sri Lanka",ChIJiUp0UvRZ4joRe1IrkhIs9Nk
